Typee,Pretty Typee,Individual,Tree Size,Tree Depth,Diversity,Semantic Diversity
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(((\fresh_734:Boolean -> (\fresh_727:Integer -> 1)) (if True then (if True then (if True then False else False) else False) else True)) ((\fresh_728:Boolean -> (if (if True then False else fresh_728) then ((\fresh_732:Boolean -> -733) ((if fresh_728 then ! else !) False)) else -348)) False)),33,8,3777.414,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,((if True then ((if True then (\fresh_853:Boolean -> (\fresh_852:Integer -> (if False then fresh_852 else 1))) else (\fresh_853:Boolean -> (if True then (% 270) else (+Int 443)))) True) else (\fresh_852:Integer -> ((if ((\fresh_861:Integer -> False) fresh_852) then string_length else string_length) "tiEgOTnRNBToyydtVMWrgegcUAIHheggcEypuFUhTmDhqiaWsUZrGJnbmfukpARhZVYkSkooDPBbjMuGYepdb"))) -280),33,8,3853.497,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(if True then 1 else ((if True then (\fresh_862:Boolean -> (if fresh_862 then 1 else 1)) else (if True then ((\fresh_875:Boolean -> (\fresh_862:Boolean -> 1)) False) else (\fresh_862:Boolean -> 1))) ((if False then (\fresh_863:Integer -> True) else (>Int (if True then -119 else -73))) (if True then 162 else 378)))),35,8,3855.693,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(if (if True then ((if True then (\fresh_878:Object -> False) else (\fresh_878:Object -> True)) -101.50680358238701) else (((if False then !=Int else <=Int) 134) ((\fresh_888:Boolean -> 439) (if False then ((\fresh_889:Integer -> False) (if False then 98 else -657)) else False)))) then 1 else (if (if True then False else True) then ((if True then (\fresh_905:Integer -> 1) else (\fresh_905:Integer -> fresh_905)) 67) else (if ((|| False) False) then 1 else (if ((if True then (\fresh_910:Integer -> False) else (\fresh_910:Integer -> True)) 31) then 1 else (if True then (if False then (if False then 1 else 1) else 1) else 1))))),72,8,6840.112,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,((\fresh_912:Object -> 1) -98),4,3,2138.211,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,((\fresh_913:Integer -> ((if True then (\fresh_916:Boolean -> (if fresh_916 then 1 else (if False then fresh_913 else 1))) else (\fresh_916:Boolean -> 1)) False)) ((\fresh_914:Integer -> 442) ((\fresh_915:Integer -> 837) 191))),23,8,3123.071,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(((\fresh_924:Boolean -> (\fresh_922:Boolean -> 1)) (((\fresh_935:Boolean -> (\fresh_925:Integer -> True)) False) ((\fresh_926:Double -> 396) 102.19998810269651))) ((\fresh_923:Boolean -> False) False)),19,7,2874.008,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
